LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
31m         Warning   Unhealthy           pod/juliojubiladoapi-55b966965d-jzw8q     Startup probe failed: Get "http://10.244.0.71:8081/actuator/health/liveness": dial tcp 10.244.0.71:8081: connect: connection refused
31m         Warning   Unhealthy           pod/juliopedidoapi-9f8c69b68-m4gqg        Startup probe failed: Get "http://10.244.0.73:8080/actuator/health/liveness": dial tcp 10.244.0.73:8080: connect: connection refused
31m         Warning   Unhealthy           pod/juliopedidoapi-654696d9c-b56mf        Startup probe failed: Get "http://10.244.0.74:8080/actuator/health/liveness": dial tcp 10.244.0.74:8080: connect: connection refused
30m         Normal    Pulled              pod/juliojubiladoapi-55b966965d-tshw9     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
30m         Normal    Pulled              pod/juliojubiladoapi-55b966965d-nnrpp     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
30m         Normal    Pulled              pod/juliojubiladoapi-55b966965d-7n6r4     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
30m         Normal    Started             pod/juliojubiladoapi-55b966965d-nnrpp     Started container app
30m         Normal    Started             pod/juliojubiladoapi-55b966965d-tshw9     Started container app
30m         Normal    Created             pod/juliojubiladoapi-55b966965d-tshw9     Created container: app
30m         Normal    Created             pod/juliojubiladoapi-55b966965d-nnrpp     Created container: app
30m         Normal    Created             pod/juliojubiladoapi-55b966965d-7n6r4     Created container: app
30m         Normal    Started             pod/juliojubiladoapi-55b966965d-7n6r4     Started container app
30m         Normal    SuccessfulDelete    replicaset/juliopedidoapi-9f8c69b68       Deleted pod: juliopedidoapi-9f8c69b68-m4gqg
30m         Normal    ScalingReplicaSet   deployment/juliopedidoapi                 Scaled down replica set juliopedidoapi-9f8c69b68 from 1 to 0
30m         Normal    Killing             pod/juliopedidoapi-9f8c69b68-m4gqg        Stopping container app
30m         Warning   Unhealthy           pod/juliojubiladoapi-55b966965d-tshw9     Startup probe failed: Get "http://10.244.0.69:8081/actuator/health/liveness": dial tcp 10.244.0.69:8081: connect: connection refused
30m         Warning   Unhealthy           pod/juliojubiladoapi-55b966965d-nnrpp     Startup probe failed: Get "http://10.244.0.70:8081/actuator/health/liveness": dial tcp 10.244.0.70:8081: connect: connection refused
30m         Warning   Unhealthy           pod/juliojubiladoapi-55b966965d-7n6r4     Startup probe failed: Get "http://10.244.0.72:8081/actuator/health/liveness": dial tcp 10.244.0.72:8081: connect: connection refused
13m         Normal    ScalingReplicaSet   deployment/prometheus                     Scaled down replica set prometheus-68d797f6cf from 1 to 0
13m         Normal    SuccessfulDelete    replicaset/prometheus-68d797f6cf          Deleted pod: prometheus-68d797f6cf-lgr6f
13m         Normal    Killing             pod/prometheus-68d797f6cf-lgr6f           Stopping container prometheus
13m         Normal    ScalingReplicaSet   deployment/grafana                        Scaled up replica set grafana-7b88b8d89c from 0 to 1
13m         Normal    SuccessfulCreate    replicaset/grafana-7b88b8d89c             Created pod: grafana-7b88b8d89c-r8bgq
13m         Normal    ScalingReplicaSet   deployment/prometheus                     Scaled up replica set prometheus-648b9bcc7b from 0 to 1
13m         Normal    SuccessfulCreate    replicaset/prometheus-648b9bcc7b          Created pod: prometheus-648b9bcc7b-sfdxv
13m         Normal    Pulled              pod/grafana-7b88b8d89c-r8bgq              Container image "grafana/grafana:11.2.0" already present on machine
13m         Normal    Created             pod/grafana-7b88b8d89c-r8bgq              Created container: grafana
13m         Normal    Pulled              pod/prometheus-648b9bcc7b-sfdxv           Container image "busybox:1.36" already present on machine
13m         Normal    Created             pod/prometheus-648b9bcc7b-sfdxv           Created container: init-prometheus-volume
13m         Normal    Started             pod/grafana-7b88b8d89c-r8bgq              Started container grafana
13m         Normal    Started             pod/prometheus-648b9bcc7b-sfdxv           Started container init-prometheus-volume
13m         Normal    Pulled              pod/prometheus-648b9bcc7b-sfdxv           Container image "prom/prometheus:v2.54.1" already present on machine
13m         Normal    Created             pod/prometheus-648b9bcc7b-sfdxv           Created container: prometheus
13m         Normal    Started             pod/prometheus-648b9bcc7b-sfdxv           Started container prometheus
12m         Warning   Unhealthy           pod/grafana-7b88b8d89c-r8bgq              Startup probe failed: Get "http://10.244.0.75:3000/api/health": dial tcp 10.244.0.75:3000: connect: connection refused
12m         Normal    SuccessfulDelete    replicaset/grafana-5c44645c77             Deleted pod: grafana-5c44645c77-7q7lk
12m         Normal    Killing             pod/grafana-5c44645c77-7q7lk              Stopping container grafana
12m         Normal    ScalingReplicaSet   deployment/grafana                        Scaled down replica set grafana-5c44645c77 from 1 to 0
12m         Warning   Unhealthy           pod/grafana-5c44645c77-7q7lk              Readiness probe failed: Get "http://10.244.0.46:3000/api/health": dial tcp 10.244.0.46:3000: connect: connection refused
6m41s       Normal    ScalingReplicaSet   deployment/prometheus                     Scaled down replica set prometheus-648b9bcc7b from 1 to 0
6m40s       Normal    Killing             pod/prometheus-648b9bcc7b-sfdxv           Stopping container prometheus
6m40s       Normal    SuccessfulDelete    replicaset/prometheus-648b9bcc7b          Deleted pod: prometheus-648b9bcc7b-sfdxv
6m39s       Normal    ScalingReplicaSet   deployment/grafana                        Scaled up replica set grafana-655488cbcf from 0 to 1
6m39s       Normal    SuccessfulCreate    replicaset/grafana-655488cbcf             Created pod: grafana-655488cbcf-nxqzz
6m37s       Normal    SuccessfulCreate    replicaset/prometheus-77bc5b8447          Created pod: prometheus-77bc5b8447-wm4lv
6m37s       Normal    ScalingReplicaSet   deployment/prometheus                     Scaled up replica set prometheus-77bc5b8447 from 0 to 1
6m35s       Normal    Pulled              pod/grafana-655488cbcf-nxqzz              Container image "grafana/grafana:11.2.0" already present on machine
6m34s       Normal    Created             pod/grafana-655488cbcf-nxqzz              Created container: grafana
6m33s       Normal    Pulled              pod/prometheus-77bc5b8447-wm4lv           Container image "busybox:1.36" already present on machine
6m33s       Normal    Created             pod/prometheus-77bc5b8447-wm4lv           Created container: init-prometheus-volume
6m33s       Normal    Started             pod/grafana-655488cbcf-nxqzz              Started container grafana
6m32s       Normal    Started             pod/prometheus-77bc5b8447-wm4lv           Started container prometheus
6m32s       Normal    Pulled              pod/prometheus-77bc5b8447-wm4lv           Container image "prom/prometheus:v2.54.1" already present on machine
6m32s       Normal    Created             pod/prometheus-77bc5b8447-wm4lv           Created container: prometheus
6m32s       Normal    Started             pod/prometheus-77bc5b8447-wm4lv           Started container init-prometheus-volume
6m8s        Warning   Unhealthy           pod/grafana-655488cbcf-nxqzz              Startup probe failed: Get "http://10.244.0.77:3000/api/health": dial tcp 10.244.0.77:3000: connect: connection refused
5m58s       Normal    SuccessfulDelete    replicaset/grafana-7b88b8d89c             Deleted pod: grafana-7b88b8d89c-r8bgq
5m58s       Normal    ScalingReplicaSet   deployment/grafana                        Scaled down replica set grafana-7b88b8d89c from 1 to 0
5m58s       Normal    Killing             pod/grafana-7b88b8d89c-r8bgq              Stopping container grafana
